Data,Contrato,Previous Close,Previous Open,Previous High,Previous Low,Weekly Previous Close,Weekly Previous High,Weekly Previous Low,Monthly Previous Close,Monthly Previous High,Monthly Previous Low,Trade Time
2026-08-14,SBV26,16.82,16.37,16.84,16.27,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:08:00
2026-08-14,SBH27,17.81,17.38,17.82,17.28,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:00
2026-08-14,SBK27,17.49,17.14,17.51,17.03,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:00
2026-08-14,SBN27,17.3,17.0,17.31,16.86,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:00
2026-08-14,SBV27,17.42,17.17,17.43,17.04,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:00
2026-08-14,SBH28,17.87,17.6,17.89,17.58,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:00
2026-08-14,SBK28,17.28,17.04,17.28,17.04,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:00
2026-08-14,SBN28,17.0,16.85,17.01,16.83,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:00
2026-08-14,SBV28,17.07,16.98,17.07,16.94,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:00
2026-08-14,SBH29,17.51,17.46,17.51,17.4,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:00
2026-08-14,SBK29,17.1,0.0,17.1,17.1,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:20
2026-08-14,SBN29,16.94,0.0,16.94,16.94,16.45,16.5,14.61,14.66,15.39,14.37,2026-08-14T12:04:20
